eventId,clientType,alObjectType,alObjectId,alObjectName,extensionName,extensionPublisher,Count,PercentOfTotal,FirstSeen [UTC],LastSeen [UTC],AvgPerHour,AvgExecutionMs,MaxExecutionMs,SampleMessage
RT0004,WebServiceClient,,,,,,63346,40.14,"10/30/2025, 8:29:21.214 AM","10/31/2025, 8:28:33.669 AM",2639.4,2.13,187.09,Authorization Succeeded (Open Company)
RT0008,WebServiceClient,Codeunit,10033100,,LS Central,LS Retail,63137,40.01,"10/30/2025, 8:29:21.216 AM","10/31/2025, 8:28:33.671 AM",2630.7,2.88,218.36,Web service called (Soap): OmniWrapper
RT0004,Background,,,,,,4545,2.88,"10/30/2025, 8:29:33.607 AM","10/31/2025, 8:28:25.834 AM",189.4,4.16,124.85,Authorization Succeeded (Open Company)
LC0043,,,,,,,4402,2.79,"10/30/2025, 8:29:34.470 AM","10/31/2025, 8:28:26.679 AM",183.4,1529.97,498287.48,Task 29ff6e71-fcc2-4262-b9ab-2cb046c6a74a main codeunit 448 completed.
LC0040,,,,,,,4167,2.64,"10/30/2025, 8:29:34.462 AM","10/31/2025, 8:28:26.671 AM",173.6,NaN,,Task 9a63e870-4203-48e7-bdfb-db952df1743c created: 448 scheduled to run after 2025-10-30 20:49:33Z. Ready to run: True
AL0000E24,Background,CodeUnit,8713,System Telemetry Logger,System Application,Microsoft,4149,2.63,"10/30/2025, 8:29:34.463 AM","10/31/2025, 8:28:26.672 AM",172.9,NaN,,Job queue entry enqueued: 1CD300DB-E671-45EB-B087-1C91ADA98D6A
AL0000E25,Background,CodeUnit,8713,System Telemetry Logger,System Application,Microsoft,3401,2.16,"10/30/2025, 8:29:33.620 AM","10/31/2025, 8:28:25.847 AM",141.7,NaN,,Job queue entry started: 0F5E5372-51CB-4289-A080-3B28E44DA7ED
AL0000E26,Background,CodeUnit,8713,System Telemetry Logger,System Application,Microsoft,3398,2.15,"10/30/2025, 8:29:34.464 AM","10/31/2025, 8:28:26.672 AM",141.6,NaN,,Job queue entry finished: 0F5E5372-51CB-4289-A080-3B28E44DA7ED
LC0042,,,,,,,3338,2.12,"10/30/2025, 8:29:34.460 AM","10/31/2025, 8:28:26.669 AM",139.1,NaN,,Task 4ad8deac-9a01-48c7-ab20-15bfed0fec33 removed: 448
RT0019,Background,CodeUnit,80256,HAG ASB Queue,Hagar Connect,Hagar,858,0.54,"10/30/2025, 8:30:33.273 AM","10/31/2025, 8:27:53.026 AM",35.8,4285.92,5496.29,Web Service Called (Outgoing): https://sb-hagarmiddlelayer-prod.servicebus.windows.net
